nombre,letra
ya te olvide,"Ya te olvide,

Vuelvo a ser libre otra vez,

Vuelvo a volar hacia mi vida,

Que esta lejos y prohibida para ti.



Ya te olvide,

Ya estas muy lejos de mi,

Tu lo lograste con herirme, lastimarme,

Y convertirme en no se que.



Me atrapaste me tuviste entre tus manos,

Me enseñaste lo inhumano y lo infeliz que puedes ser,

Te fingiste exactamente enamorado,

Aunque nunca me has amado yo lo se.



Me dijiste que jamas podria olvidarte,

Que despues iria a robarte y a decirte besame,

Yo luche contra el amor que te tenia y se fue,

Ahora ya te olvide.



Me atrapaste me tuviste entre tus manos,

Me enseñaste lo inhumano y lo infeliz que puedes ser,

Te fingiste exactamente enamorado,

Aunque nunca me has amado yo lo se."
porque te quiero,"No podria vivir 

alejada de ti 

no sabria que hacer 

si no estas junto a mi 



Te pido mil disculpas pues cuando se quiere 

por cualquier motivo a veces se hiere 

pero este cariño cuando es verdadero 

no tiene controles y se entrega entero 

y por eso 



si te busco es porque te quiero 

y si te llamo es porque te quiero 

y si te extraño es porque te quiero 

y tengo celos es porque te quiero 



y si estoy triste es porque te quiero 

si estoy alegre es porque te quiero 

y si de pronto siento que me muero 

es porque te quiero te quiero te quiero 

te quiero te quiero te quiero te quiero 

te quiero te quiero"
extrañandote,"No puedo ser fuerte,no puedo

hoy k tu no estas aqui

mendigo sonrisas

me duele hasta el aire

k choca en mi.



conmigo no suenan los chistes

k un dia contigo aprendi

me muerde este frio

me matan las horas, me matan

parece k tu te llevaste mi

mundo contigo tambien

procuro otras calles

pero siempre llego a

las mismas de ayer.



no hay nada k logre

borrarte un minuto en mi vida

tengo tanto cielo pero

soy una ave perdida.

extrañandote

solo vivo extrañando

tus besos y tu mirada, si

extrañandote

me quede desde el dia k te

fuiste solo extrañandote.



no hay nada k logre

borrarte...

(se repite)



extrañandote

solo vivo extrañando

tus besos y tu mirada,si

extrañandote

me quede desde el dia k te

fuiste solo extrañandote.
"
sueño de tantos,"Sueño que noches calladas

te tengo en mi brazos

muy cerca del mar

y que tus ojos me miran

me miran llorando de felicidad



Sueño que tus labios rojos

murmuran y dicen te quiero besar

acercate, besame que con tus caricias

se acaban mis penas y me haces gozar



Solo la luna y estrellas,

Olas y palmeras nos pueden mirar

y tus cabellos dorados

saludan fragante las olas del mar



Asi yo vivo en mis noches

y muero en el dia al despertar el sol

y las gaviotas se alejan,

se llevan mi sueño

tu mi corazon
"
yo no puedo ya ni ser tu amiga,"Hoy que te hago tanta falta ya es muy tarde

Lamentablemente te he olvidado

Yo te dije que no ibas a olvidarme

No soy facil de olvidar lo has comprobado



Yo te dije y te jure que eras mi vida

Que eras todo lo mejor que habia tenido

Que a mi madre y a ti solo queria

Que para ella y para ti yo habia nacido



Y esa tarde que dijiste que volvias

Muy segura estaba yo que no vendrias

Yo sabia que te esperaba otro cariño

Y lo que ella queria de ti tambien sabia



Pero que fueras capaz yo no creia

Que me hicieras tanto daño tanto daño

Y hoy me dices que te hago mucha falta

No puedo volver contigo te eh olvidado"
culpa de un palomo,"Dicen que el amor es ciego no puede ver lo que esta pasando

cuentan que lo quieren tanto que de por vida lo va a esperar

que lo busca en todas parte y a todo mundo va preguntando

si lo han visto donde y cuando si no saben donde esta



vuela una paloma blanca que va llorando que va llorando

culpa de un palomo negro lo esta buscando lo esta buscando



vuela una paloma blanca que va llorando que va llorando

dicen que ya no la quiera que no regresa no vuelve al nido

cuentan que la esta engañando pero ella jura que esta perdido



cuentan que por la mañanas muy tempranito salia a buscarlo

dicen que por ir tan lejos corre peligro para volver

que regresa ya muy tarde

cuando la luna viene asomando

solo dios sabe cuando va a sufrir por su querer"
te quiero mucho mucho,"Juntos:

Te quiero mucho, mucho,

Desde hace mucho tiempo,

Te quiero mucho, mucho,

Desde el primer te quiero.



Te quiero mucho, mucho,

Desde que estas conmigo,

Te quiero mucho, mucho,

Desde que estoy contigo.



Amor, amor,

Desde que nos unimos,

Todo este amor que siento,

Me sale del alma.



Amor, amor,

Desde que estoy contigo,

Al ver tus ojos bellos,

Yo pierdo la calma.



Te quiero mucho, mucho,

Desde hace mucho tiempo,

Te quiero mucho, mucho,

Desde el primer te quiero.



Amor, amor,

Desde que nos unimos,

Todo este amor que siento,

Me sale del alma."
la reunion,"Den, den, den,

Den, den, den,

Den, den, den,

Den, den, den.



Bog, bog, bog,

Bog, bog, bog,

Bog, bog, bog,

Bog, bog, bog.



Paraba, Paraba, Paraba,

Paraba, Paraba, Paraba,

Paraba, Paraba, Paraba,

Rururura,



Paraba, Paraba, Paraba,

Paraba, Paraba, Paraba,

Paraba, Paraba, Paraba,

Rururura,



Twist, twist,



Cuando te quieras divertir,

Un domingo en la reunion,

Cuando te quieras divertir,

Y sentir una ilusion.



Aprenderas a bailar,

Y tambien a soñar,

Con el ritmo de twist.

Aprenderas a bailar,

Y tambien a soñar,

Con el ritmo de twist."
amores,"El amor, que yo siento por ti, es algo diferente

No se da, porque si nada mas, por eso hoy vengo a verte

En la vida se puede vivir y llegar a morir, sin haberlo encontrado

Yo no quiero perder, lo que puedo perder, si no estoy a tu lado



Hay amores, que nos quitan el sueño,

Hay amores, que nos roban la vida

Hay amores, que nos matan de pena,

Son amores, que jamas se te olvidan



Y hay amores, como el que yo te ofrezco,

Que es tan grande, que no tiene medida,

Este amor, que nacio al conocerte, para toda la vida



En la vida se puede vivir y llegar a morir, sin haberlo encontrado

Yo no quiero perder, lo que puedo perder, si no estoy a tu lado"
ya me voy,"Ya me voy,

Porque tu no me quieres,

y me voy,

Con la pena mas grande,

De saber que nunca volvere a verte.



Adios, adios,

Ya me voy, ya me voy,

Y este adios es para siempre.



¡Que lastima!

Lo que me duele es perderte,

Y pena me da el saber,

Que me voy porque tu no me quieres.



¡Ay que tristeza!, no te imaginas,

El dolor tan grande que siento,

Al tener que decirte adios,

Dios quiera y nunca sientas,

La angustia que estoy sufriendo,

Por un amor.



¡Ay que tristeza!, no te imaginas,

El dolor tan grande que siento,

Al tener que decirte adios,

Porque te quiero por eso mismo,

Porque te quiero mejor me voy."
que ya no estas,"Que ya no estas, dijo el suspiro

que de mi pecho se me escapo

que ya no estas, dijo esta lagrima

que mi mejilla humedecio.



Que ya no estas, dijo la rosa triste y seca

que esta en el jardin

que ya no estas, que nuestra historia tan bonita

ya llego a su fin



Que ya no estas, que te has marchado

y que ya nunca a mi vas a volver

que me has dejado solo, triste y sin tu querer

todo me indica en realidad que ya no estas.



Que ya no estas, con ironia dijo el recuerdo

que dejaste en mi

que ya no estas pero te puedo acariciar

dijo el recuerdo, si.



Que ya no estas y una esperanza que es mi amiga

me invita a soñar

que volveras pero la triste realidad me grita

que no estas."
jamas te prometi un jardin de rosas,"Coro del mariachi:

Jamas te prometi un jardin de rosas,

Yo simplemente dije que te quiero,

Y tu con interes veias las cosas,

Pensando solamente en el dinero.



Rocio:

Si a eso llamas tu... amor,

Te queda entonces mucho por sufrir,

Que lastima que estes en ese error,

Te moriras sin nada siendo asi.



Esta tu juventud en flor,

Te queda mucho tiempo vivir,

Que lastima que seas un vividor,

Yo no te veo ningun buen por venir.



Tu piensas que seras rico algun dia,

Que como vividor tienes futuro,

Si piensas conseguirlo con mentiras,

Jamas lo miraras yo te lo juro.



No quiero estar presente en tu caida,

Que es todo lo que tienes bien seguro."
amor bonito,"Un amor como el tuyo

nunca se olvida

ni se encuentra en las noches de una cantina

cuando beso tu boca me desespero



y si un dia me faltaras

o te fueras de mi lado

quedaria triste mente desolada



que bonito



que bonito el gran amor que tu me entregas

que bonito es estar contigo y darme cuenta

que vivir sin ti seria una condena



que bonito



el gran amor que tu me entregas

que bonito es estar contigo y darme cuenta

que sin ti la vida no vale la pena



una amor como el tuyo

nunca se olvida

ni se encuentra en las noches de una cantina

cuda dia que pasa te nesecito mas



quiera dios

que no me olvides

que te quedes a mi lado

te repito una vez mas te quiero tanto.



que bonito...   [ se rep. ]
"
sufro tu ausencia,"Hoy que te has ido,

tan lejos de mi,

comprendo lo mucho,

que sufro por ti,



que yo sin tu amor,

no puedo vivir,

por eso te pido,

que vuelvas a mi.



Yo quiero tenerte,

muy cerca de mi,

yo quiero besarte,

ser solo de ti,

quisiera sentirte, hablarte y amarte

y nunca en la vida, dejarte partir.



No importa que digan,

que sufro tu ausencia,

que digan que llevo,

clavado un dolor,

si lo que me importa,

es que tengas clemencia,

que sepas que te amo,

con todo mi amor.



Yo quiero tenerte,

muy cerca de mi,

yo quiero besarte,

ser solo de ti,

quisiera sentirte, hablarte y amarte

y nunca en la vida, dejarte partir.
"
mas te vale,"Mas te vale,

Mas te vale, que conmigo seas sincero,

Ya no creas que voy ha ser tu bacilon,

Tienes fama de don Juan y de embustero,

Y que te gusta compartir el corazon.



Mas te vale que me quieras a la buena,

Y una pena en la conciencia te ahorraras,

Si me engañas es mi olvido tu condena,

Y en verdad yo cada dia te quiero mas.



Mas te vale, que olvides a tus amantes,

Si no quieres nada mas dejame en paz,

Esos juegos son para los principiantes,

Si amar quieres, ven conmigo, aprenderas.



Mas te vale,

Mas te vale, que conmigo seas derecho,

Y no abrigues en tu pecho falsedad,

Ya lo dijo aquel refran del dicho al hecho,

Hay buen trecho de cual es tu realidad."
soñemos,"Yo se que es imposible quererte y adorarte,

Que es un pecado amarte y darte el corazon,

Pero no importa, ¡vida!, soñemos esta noche,

Aunque despues lloremos mañana al despertar.



Soñemos,

Que los dos estamos libres,

Soñemos,

En la gloria de este amor.



Soñemos,

Que ya nada nos separa,

Y que somos cual dos almas,

Que nacieron para amar.



Soñemos,

Que me quieres y te quiero,

No importa,

Que mañana, al despertar.



Tus besos,

Se despidan de mis besos,

Y asi nuestro embeleso,

Morira con nuestro amor.



Yo se que nunca nadie podria separarnos,

Y aun no estando juntos nos une un mismo amor,

Acaso en otra vida muy juntos nos hallemos,

Y nunca mas lloremos la pena de este amor."
desaires,"Te aseguro que nunca mas

que nunca mas, que nunca mas me venarare tu nombre.

No se como, pero lo hare

lo lograre, me quitare la estupida costumbre.



De gritarle a la noche que te amo

de contarle a la luna mis penas.

Ni una lagrima mas te derramo

creo que tienes atole en las venas.



Te aseguro que nunca mas,

que nunca mas, que nunca mas, pretendere tus besos

Este amor no se me dio, no se me da, ni se dara

En vano son mis rezos



Y ahora mismo levanto la vela

que a mi barca le den nuevos aires.

Hasta aqui mi guitarra se enduela

no me gusta llorando desaires.



Se repite



Te aseguro que nunca mas, que nunca mas, que nunca mas.
"
destino,"Rocio:¿Me quieres?



J.Gabriel: Te quieroo

Por ti yo

siento un cariño

desde que eramos niños yo

Te Quiero y tambien Te Amo...

y tu...¿Me Quieres?



Rocio:Te Quiero!!!

Aunque muy poco

nos vemos desde que nos conocemos

yo Te Quiero y tambien

Te Extraño



(a dueto)

Estan  hermoso saber

que te piensa otro ser y al fin

de este siglo

tu y yo somos alguien

que tienen y sienten cariño sincero

por eso siempre tu y yo

vivimos asi

felices seremos

tu cuentas conmigo

yo cuento contigo

en cualquier instante y

en cualquier terreno.



J.Gabriel: ¿Me quieres?"
inocente pobre amiga,"Te pareces tanto a mi

Que no puedes engañarme

Nada ganas con mentir

Mejor dime la verdad

Se que me vas a abandonar

Y se muy bien por quien lo haces



Crees que yo no me doy cuenta??

Lo que pasa es que ya no quiero mas problemas

Con tu amor...



Que te vas a ir con ella?

Esta bien, yo no me opongo

Te deseo que seas feliz

Pero te voy a advertir

Que si vuelves otras vez, no respondo

Crees que yo no me doy cuenta??

Lo que pasa es ke ya no kiero mas problemas

Con tu amor...



Se de una tonta que te quiere

Y que se enamoro de ti

Se bien que los dos se entienden

Y que los dos se rien de mi

Crees que no me daba cuenta??

Pues ya ves que no es asi"
renunciacion,"No quiero verte llorar,

No quiero ver que las penas,

Se metan en tu alma buena,

Por culpa de mi querer.



No quiero verte sufrir,

No soy capas de ofenderte,

Si sabes que hasta la muerte,

Jure ser solo de ti.



Si no encontraste ternura en mi alma,

Si solo penas te causo yo,

Me voy mi vida de tu presencia,

Aunque me duela en el corazon.



Yo siempre fui lo que soy,

Jamas te dije mentiras,

Y puse a tus pies mi vida,

Sin ninguna condicion.



Si tu lo quieres mi amor,

Me voy de ti para siempre,

Dejando un beso en tu frente,

Como postrer bendicion.



No habra reproches de parte mia,

Solo me importa que seas feliz,

Ya vez que todo te di en la vida,

Mi pobre vida, mi pobre vida que es para ti.
"
tu sigues siendo el mismo,"Si supieras que hace mucho

que ella dejo de quererte

y pensar que algun dia juro amarte

hasta la murte

pero ahora se arepiente

de haver perdido el tiempo



que sufrio para olvidar

tus besos

que se tuvo que ir

y muy lejos



y ahora si la vez

ni le preguntes..

que si te quiere

ya no te quiere.



te quiso mucho

cuanto te quiso

y hoy al que ama

contigo tiene un parecido



pero distintos

en sentimienmtos

por que el es bueno

y tu sigues siendo el mismo



te quiso

como a nadie

y jamas

lo ha negado



pero ahora es muy distinto...

otra vez se a enamorado

el ya save que te quiso

y tambien que te ha olvidado"
asi sucedio,"Todo se acabo, ya no queda nada

De eso que sentimos, de eso que creimos

con el tiempo tu y yo



Fue por soledad que nos conocimos

Que nos abrazamos , mucho nos besamos

Tu y yo nos quisimos por curiosidad



Todo se quedo en conversaciones

Llenas de ilusiones para recordar

Igual, yo las gracias te doy por tu compañia

Sino pude ser yo tu amor, mala suerte mia



Ni siquiera adios, nada nos dijimos

Ni nos despedimos, asi sucedio

Parece que fue solo un sueño tanta maravilla

Al fin despertamos tu y yo de esa pesadilla
"
estoy de ti enamorado,"Si quieres, me estoy contigo toda la vida hasta que muera

Si quieres puedo ayudarte a que me quieras, a que me quieras

un poco mas....



Yo me estaria toda la vida siempre contigo

no creas mi vida, que es mentira lo que te digo

yo me estaria ay toda la vida siempre a tu lado

porque mi vida, yo estoy de ti enamorado



De que me gustas es verdad, de que te quiero es verdad

mas si quieres aceptar no necesitas decir si

tan solo besame y sabras que como un loco estoy de ti

enamorado...



Yo me estaria toda la vida siempre contigo

no creas mi vida, que es mentira lo que te digo

yo me estaria ay toda la vida siempre a tu lado

porque mi vida, yo estoy de ti enamorado



De que me gustas es verdad, de que te quiero es verdad

mas si quieres aceptar no necesitas decir si

tan solo besame y sabras que como un loco estoy de ti

enamorado... 
"
pobre soy,"ME DICES QUE TE VAS,

Y ESTOY MUY TRISTE,

POR QUE DE AQUEL AMOR,

QUE ME TUBISTES

YA TODO SE ACABO,DE UN DEREPENTE,



Y HOY QUIERES EMPESAR,

CON OTRA GENTE,

QUE UN NUEVO Y GRAN AMOR,

QUE HOY TE ENCONTRASTES,

QUE ADORAS Y QUE EL,TAMBIEN TE ADORA,

RECUERDA QUE ESO IGUAL,

TU ME JURASTE,

QUE BIEN SE TE OLVIDO,

TODITO AHORA,



MI TATA DIOS QUE TE PERDONE,

EL SABE QUE YO TE PERDONE,



QUE NO TE GUARDARE, JAMAS REINCORES,

POR QUE ERES EL AMOR ,DE MIS AMORES,

YO NO TE TOMO MAL,

LO QUE DESIDAS,

ES MUY TU LLIBERTAD Y MUY TU VIDA

ADIOS QUERIDO AMOR ,

QUE SEAS DICHOSA,

QUE VEAS LA VIDA EN EL COLOR DE ROSA,

Y NUNCA TU POR MI,

TEME ENTRISTESCAS,

YA VETE DE UNA VEZ NO TE DETENGAS,"
ya para que,"Para que

quieres que vuelva

hoy que apenas

empiezo a vivir diferente

la vida sin ti



Para que

quieres hablarme

si no tienes nada que decirme

respecto a lo nuestro

si todo a cabo



Para que

quieres mirarme

que te puede importar ya mi vida

si sabes

que tengo otro amor



Hoy que sientes amor

yo ya no ciento nada

no quisistes mi amor

cuando yo te lo daba



Y hoy me pides que vueba ya para que

es mejor que me olvides no pierdas tu tiempo

ya no insistas por dios que por ti ya nada siento

dios te ayude a encontrar el amor otra vez



Es mejor que ya me olvides no pierdas mas tu tiempo

ya no insistas por dios que por ti  nada siento

dios te ayude a encontar el amor otra vez



Y hoy qure sientes amor yo ya no siento nada

no quisistes mi amor cuando yo te lo daba

y hoy me pides que vuelva ya para que
"
solo se que fue en marzo,"Querer mirar realmente el sol

sabiendo que no puedo

querer llegar hasta el mas alla

sabiendo que solo muerto



Es como querer tener a ese corazon

que hoy otro es el dueño



Ya no la molestare

no me puede querer

y ni yo debo



Ella tiene otro amor

que le da su calor

y dejarlo no debe

y la veo muy feliz

aunque a veces pienso

que todavia me quiere



Yo no se si mañana

la vere en mis brazos

solo se que fue en marzo

cuando la conoci
"
caray,"Si nosotros nos hubièramos casado

hace tiempo

cuando yo te lo propuse

no estarìa hoy sufriendo

ni llorando

por aquel humilde amor

que yo te tuve, caray

cuando te tuve, caray

cuando te tuve.



Pero tu me abandonaste

por ser pobre

te casaste con un viejo

que es muy rico

y llorè, llorè, llorè

Noche tràs noche, caray

noche tras noche, caray

Noche tràs noche.



Ahora soy yo

quien vive feliz

formè un hogar

cuando te perdì...despuès

despuès yo te olvidè

y te perdonè

y no pude hacer

ya nada por tì

ya nada por tì

ya nada por tì.



Con el tiempo

a tì tambièn te abandonaron

y ahora vives

infeliz y desgraciada

muy sola y muy triste te dejaron

y sin dinero

sin èl

sin mì

sin nada caray

sin sin dinero, caray

sin mì

sin nada (Bis)"
te sigo amando,"Que seas muy feliz

Estes donde estes, cariño

No importa que ya

No vuelvas jamas, conmigo



Deseo mi amor 

Que sepas tambien, que te amo

Que no te olvide 

Que nunca podre, te extraño



Que seas muy feliz 

Que encuentres amor, mi vida

Que nunca mi amor

Te digan adios, un dia



Perdoname mi amor 

Por todo el tiempo que te ame 

Te hice daño

Te ame de mas y fue mi error

Que soledad, estoy sin ti

Lo estoy pagando



Que seas muy feliz

Que seas muy feliz

Mientras que yo

Te sigo amando



Deseo mi amor 

Que sepas tambien, que te amo

Que no te olvide 

Que nunca podre, te extraño



Perdoname mi amor 

Por todo el tiempo que te ame 

Te hice daño

Te ame de mas y fue mi error

Que soledad, estoy sin ti

Lo estoy pagando



Que seas muy feliz

Que seas muy feliz

Mientras que yo

Te sigo amando
"
de la cabeza a los pies,"Por mi boca sabras que te quiero

por mis ojos que nada es mentira

por mis hechos que es amor sincero

que yo soy para toda la vida por ser tuyo hasta me desespero

porque tu estas hecha a mi medida



Yo naci nada mas que para amarte,

para darte mi tiempo y mi vida

yo creci nada mas para darte,

para hacerte lo que tu me digas

vivire solo para cuidarte

nada mas falta que me lo pidas



Ay amor, ay amor, dame tus manos, ponlas en mi pecho

te hablare derecho preciso saber

me permites que te quiera mucho

mirame, hablame, yo te escucho

tu me gustas mucho paŽ que seas mi mujer



Si me duermo es para soñarte

si despierto es nada mas para verte

es mejor que te vengas conmigo

solo sueño en que voy a tenerte

o si quieres me voy yo contigo

como quieras pero no perderte"
yo te perdono,"Aunque tu tengas la culpa

de toda mi soledad

sin ti aprendi tantas cosas

entre ellas perdonar



Yo te perdono de veras

sin recordar tu traicion

para mi es la experiencia

mas grande de mi amor



Contigo yo no lo niego

fui mucho y muy feliz

y ahora que sin ti vivo

no puedo decir



Que no vale la pena

llorar mas por ti

por que yo estoy llorando 

desde que tu te fuiste

pero a ti que te importa 

si no sabes de mi



Pero yo te perdono 

toda tu ingrata ausencia

no importa que a mi vida

la hayas vuelto infeliz



Contigo yo no lo niego

fui mucho y muy feliz

y ahora que sin ti vivo

no puedo decir"
te pareces tanto a mi,"Te pareces tanto a mi

que no puedes engañarme

nada ganas con mentir

mejor dime la verdad

al fin ya se que tu me vas a abandonar

y se muy bien por quien lo haces

crees que yo no me doy cuenta

lo que pasa es que no quiero mas problemas con tu amor



que tu te vas a ir con el

esta bien

yo no me opongo

te deseo que seas feliz

pero te voy a advertir

que si vuelves otra ves no no respondo

crees que no me daba cuenta

lo que pasa es que no quise mas problemas con tu amor



yo se de un tonto que te quieres

y que se enamoro de ti

y se bien que los dos se entienden

y que los dos se rien de mi

tu crees que yo no me daba cuenta

pues ya ves que no es asi"
el principio,"Un dia que andaba en el campo

me encontre con el eterno

y me dijo que el cante y baile

se va a ir al infierno



como yo se ver profundo

suelo ver la realidad

yo veo dar vueltas a este mundo

y muy triste ala humanidad

sufre, pide y llora

no sabe de donde viene

quien es y a donde va



marmolego, vargas, y villa

le dijeron al buen dios.

vamos hacerte un marichi.

del cual saldran mas de dos



yo no quiero verles tristes

yo quiero verles alegres

no quiero verles sufriendo

contentos yo quiero verles



yo no quiero que me pidan

porque todo les he dado

quiero que canten y bailen

porque asi estoy a su lado

pedir no es bueno  dar si

yo quiero  que cante y baile

todo aquel que crea en mi"
tarde,"Hoy que te hago tanta falta ya es muy tarde,

lamentablemente te he olvidado;

yo te dije que no ibas a olvidarme,

no soy facil de olvidar,lo has comprobado.

Yo te dije y te jure que eras mi vida,

que eras todo lo mejor que habia tenido,

que a mi madre y a ti solo queria,

que para ella y para ti yo habia nacido.



Y esa tarde que dijiste que volvias

muy seguro estaba yo que no vendrias,

yo sabia que te esperaba otro cariño,

y lo que el queria de ti tambien sabia;

pero que fueras capaz yo no creia

que me hicieras tanto daño,tanto daño

y hoy me dices que te hago mucha falta,

no puedo volver contigo,te he olvidado."
te lo pido por favor,"Donde estes hoy y siempre,

yo te llevo conmigo necesito cuidados,

necesito de ti,

si me voy donde vaya yo te llevo conmigo,

no me dejes ir solo necesito de ti



Tu me sabes bien cuidar,

tu me sabes bien guiar todo lo haces muy bien

tu ser muy buena es tu virtud,

como te puedo pagar todo lo que haces por mi,

todo lo feliz que soy todo este grande amor

solamente con mi vida, ten mi vida te la doy, 

te la doy

pero no me dejes nunca, no me dejes nunca,

te lo pido por favor.



Tu me sabes bien guiar,

tu me sabes bien guiar todo lo haces muy bien tu,

ser muy buena es tu virtud,

como te puedo pagar todo lo que haces por mi

todo lo feliz que soy todo este inmenso amor,

solamente con mi vida pues ten mi vida te la doy,

pero tu no me dejes, y no me dejes nunca

te lo pido por favor

pero no me dejes nunca, no me dejes nunca

te lo pido, te lo pido por favor
"
dios te bendiga amor,"Dios te bendiga mi amor,

Aunque no vuelvas, nunca, nunca tu eres buena

Tu te mereces lo mejor que hay en la tierra

Cuanta conmigo siempre, para ser feliz



Dios te bendiga mi amor,

Que yo estare siempre a tu lado aunque este lejos

No habra distancia entre tu y yo, recuerda eso,

Pues me preocupa, que tu vayas a sufrir

Y no es que quiera recordarte, aquel cariño

Ni que con esa condicion, te ofrezca ayuda

Tu sabes bien, que antes que nada, soy tu amigo

Que todo lo demas, resuelto fue en un hermoso adios



Dios te bendiga mi amor,

Pues tu bien sabes, que bien sincero siempre he sido

Y mas tratandose del mas grande cariño

Que yo he tenido, desde el dia que naci"
veinte años,"Yo no se que sera de tu vida,

Hace tiempo que no se de ti

Desde aquella triste despedida,

Pero Dios quiera que seas feliz

Todavia me duele tu ausencia,

Has de cuenta que te fuiste ayer

Y pensar que han pasado veinte años,

Sin embargo, jamas te olvide

Tu jamas procuraste buscarme,

Y yo de tanto buscarte me perdi

Y hoy me encuentro perdido en el mundo,

Vacio y sin tus besos y sin saber de ti



Nunca pude, querer mas a nadie,

Nunca nadie mas me intereso

Siempre has sido el amor de mi vida,

Siempre has sido mi primer amor

Pasaran otros mas veinte años

Y tal vez nunca jamas te vere

Pero voy a seguirte esperando

Hasta el dia en que morire"
mis ojos tristes,"Ojos que

han deramado tantas lagrimas por penas

de dolor de amor de tantas despedidas

y de esperas



soledad es todo lo que tengo

ahora y tus recuerdos

que hacen mas

triste la angustia de vivir pensando en ti



ojos

que te dieron tanto

que no han vuento a verte

hasta el sol de hoy



tristes de tanto estrañarte

de tanto esperarte

desde a quel adios



mis ojos tristes

que al no saber de tu vida

a si los castigas

con la soledad



solo dios sabe si volveran



ojos que te dieron tanto

que no han vuelto a verte

hasta el sol d e hoy

tristes de tanto extrañarte

de tanto esperarte desde a quel adios



mis ojos tristes

que al no saber de tu vida

asi los castigas con la soledad



solo dios sabe si volveran
"
"nunca lo sabre, nunca lo sabras","Nunca nunca, tu sabras,

que me muero, por tu amor,

estamos, hoy tan lejos,

que modo, ya no hay,

que por alguien te enteres,

que me muero por tu amor.



Nunca nunca, yo sabre,

si me extrañas, como yo,

estamos, hoy tan lejos,

que modo, ya no hay,

que por alguien me entere,

si me extrañas como yo.



Nadie, se entero de, nuestro amor,

solo tu y yo,

por eso, nunca nadie, se entero de nuestro adios,

si nadie sabe nada,

ni tu, de mi llorar,

entonces que he de hacer,

si yo no se en donde estaaaaaas,



Nunca, nunca, tu sabras,

que te espera, aun mi amor,

que nunca, a nadie quise,

con todo, el corazon,

que hoy me he convencido,

de que tu fuiste mi amooooor."
un amor,"Quiero amar y ser amado

quiero estar enamorado

encontrar el amor que soñe

realizar mi sueño esta vez

demostrarle al mundo que yo se querer

caminar por un mundo mejor

donde no haya odio ni rencor

necesito encontrar un amor, un amor



Quiero querer y que me quieran

quiero entregar mi vida entera

encontrar el amor que soñe

realizar mi sueño esta vez

demostrarle al mundo que yo se querer

caminar por un mundo mejor

donde no haya odio ni rencor

necesito encontrar un amor, un amor



un amor, un amor, un amor, un amor,

un amor, ehh, un amor.......
"
cuando estoy en el campo,"Cuando estoy en el campo,mi vida cambia

mi casita de adobe, esa es mi estancia

oigo el canto del gallo anunciando

que hay viene a mi rancho

un bello y nuevo dia

El amor se despierta,

la fe se levanta, la vida comienza

y todo en armonia



Cuando estoy en el campo, me voy al rio

a escuchar el silencio de Dios y el mio

y me baña, me arrulla, me duerme, me lleva

y me calma igual que cuando niño lo hiciera mi padre adorado,

mi madre divina con su amor y cariño



Cuando estoy en el campo y cae la tarde

antes que el sol de vaya, como mi padre

a caballo camino, recorro, disfruto

y admiro mi tierra linda y morena

veo la viña, la alfalfa, el maiz, el arroz,

el trigal, su verde nogalera"
en esta primavera,"En esta primavera sera tu regalo un ramo de rosas

Te llevare a la playa te besare en el mar y muchas otras cosas mas

En esta primavera las flores de mayo seran para ti

Yo tendre tu cariño y tu tendras las flores que ya te prometi

Si sera felicidad la primavera (la primavera) Y sonreiras como la ves primera

Y yo tendre quien me quiera

Coro

Flores y amor tu y yo, flores y amor tu y yo, y sonreir tu y yo

Contigo asi tu y yo, asi y asi tu y yo, Flores y amor tu y yo, Flores y amor



En esta primavera sera tu regalo un ramo de rosas

Te llevare a la playa te besare en el mar y muchas otras cosas mas

En esta primavera las flores de mayo seran para ti

Yo tendre tu cariño y tu tendras las flores que ya te prometi

Si sera felicidad la primavera (la primavera) Y sonreiras como la ves primera

Y yo tendre quien me quiera

Coro

Flores y amor tu y yo, flores y amor tu y yo, y sonreir tu y yo

Contigo asi tu y yo, asi y asi tu y yo, Flores y amor tu y yo, Flores y amor

Coro

Flores y amor tu y yo, flores y amor tu y yo, y sonreir tu y yo

Contigo asi tu y yo, asi y asi tu y yo, Flores y amor tu y yo

Flores y amor tu y yo, Flores y amor tu y yo, y sonreir tu y yo

Flores y amor tu y yo
"
a mi guitarra,"Yo ya no me  siento solo

ya tengo una  amiga

y soy muy feliz



Es una linda guitarra

la que me aconseja

lo que hay que decir, si



Todas estas cosas bellas

que yo canto no salen de mi

salen de mi guitarra

por que ella bien sabe

lo que traigo aqui



Tengo mi guitarra

que me acompaña a donde quiera

para darle serenata

a la chica que mas me quiera



Ya no me siento  solo

tampoco triste como hace poco

mi guitarra me ha dado

la alegria, me ha dado todo



Y ahora 

llevo por siempre conmigo

mi linda guitarra (huuu)

yo ya no estoy solo (huuu)

ella me acompaña (ye ye ye)"
