nombre,letra
el oficio de amar,"Me preguntas con cierta maldad

si me acuerdo del tiempo en que ame

porque piensas que en la actualidad

platicarte de amores no se.



Mi respuesta sincera te doy

en presencia de mi vanidad

convencido te digo que soy

un amante sin caducidad.



Por lo cual te demuestro que yo

sigo amando lo mismo que ayer

porque se porque bien aprendio

el secreto de siempre querer.



Me obligaste que hablara de mi

y te voy a decir lo mejor

que el oficio de amar lo aprendi

cuando andaba de novio en amor.



Por lo cual te demuestro que yo

sigo amando lo mismo que ayer

porque se porque bien aprendio

el secreto de siempre querer.



Me obligaste que hablara de mi

y te voy a decir lo mejor

que el oficio de amar lo aprendi

cuando andaba de novio en amor.
"
es hora de partir,"Hola toño es hora de largarnos ajajaja con ella



es hora de partir

aunque no quiero yo

definitivamente



yo siento que ya no

lleno tu corazon

con bien quererte

que gano con rogar

hincado ante tus pies

encarecidamente



si tu no quieres ya

ni en retrato tener

mi cuerpo en frente

contraste entre tu y yo

a ti te falta amor y ami mi

sobra



tu ries de corazon

yo muero de de dolor

por nuestra historia

ya no hay abejas no

que fabriquen la miel

de amor bendito



han muerto y el panal

el sol lo reseco

y esta marchito



por eso ya me voy

con la muerte detras en mis espaldas

voy a morir por ti

ya encontraras la cruz

donde yo caiga"
pero sin querer,"Como duele el corazon, cuando se trae una pena

Es la dolencia mayor, es herida que no cierra

Y aunque se que te perdi, no voy a regar mi llanto

Mejor me acuerdo de ti, mejor me acuerdo de ti

Cuando me quisiste tanto

Como duelen las penas, que nos condenan, a padecer

Y es que tu me partiste, la mitad del alma, pero sin querer

Pero sin querer, pero sin querer,

Me partiste el alma, pero sin querer



Yo no te guardo rencor, ni de lo malo me acuerdo

Y aunque es profundo el dolor, y aunque es profundo el dolor

Solo lo dejo en recuerdos

Como duelen las penas, que nos condenan, a padecer

Y es que tu me partiste, la mitad del alma, pero sin querer

Pero sin querer, pero sin querer,

Me partiste el alma, pero sin querer
"
los verdaderos hombres,"Amar a una mujer

Que facil es

Cuando son unas santas

Castas e intachables

Cuando no tienen nada reprochable

Cuando son fieles hasta en el pensar



Pero cuando una bella tropieza en el camino

La condenamos peor que a un delincuente

La sociedad la juzga duramente

Y un pobre macho no sabe perdonar



Si te ha ofendido una la mujer que tu mas quieres

Y te ah pedido tu perdon daselo ahora

Que no es cobarde el que perdona las mujeres

Si el mismo ha perdonado tu quien eres

El ser varon no acabarse la botella

Ni presumir que tienes hembras por montones

Es perdonar la peor ofensa de tu estrella

Ahi se conocen a los verdaderos hombres"
en las mismas circunstancias,"Ya no estas, pero soñe

Que llegabas junto a mi

Que tu boca me besaba

Te miraba sonreir, parecias tan feliz

Otra vez aqui en la casa



Fuertemente te abrace

Y otra vez te suplique, no me dejes no te vayas

Pero en eso que te hable

Otra vez me desperte, tristemente pues no estabas



Que solo estoy

Con tanto amor aqui en mi casa

Que puedo hacer

Si mi dolor, no se me pasa



Aunque no te puedo ver

No te dejo de querer, por que tengo la esperanza

De mirarte regresar, para ya no despertar

En las mismas circunstancias



Que solo estoy

Con tanto amor aqui en mi casa

Que puedo hacer

Si mi dolor, no se me pasa



Aunque no te puedo ver

No te dejo de querer, por que tengo la esperanza

De mirarte regresar, para ya no despertar

En las mismas circunstancias
"
ni mas ni menos,"Ni mas, ni menos

tal como eres asi te quiero

ni mas ni menos amor, ni mas ni menos

con esos ojos tus ojos tristes

tus ojos negros

ya me has dejado sin alma el cuerpo



Tienes mi vida de esa medida de mis deseis

aunque por eso yo tenga celos

celos todos los que te miran

y de tu espejo el siempre cerca

y yo tan lejos



Ni mas ni menos, tal como eres asi te quiero

ni mas ni menos amor, ni mas ni menos

con esos años con los que tienes

con es cuerpo



Ni mas ni menos, ni mas ni menos

por las mañanas cuando tu risa

rompe el silencio canta la vida

nacen los versos

por lo que falta que yo te diga

de lo que siento por eso mi alma

es que te quiero"
señora de mis respetos,"Felicitime a su hombre, Señora de mis Respetos,

digale que yo lo admiro por todo lo que ha logrado,

digale que pocos llegan hasta donde el ha llegado,

ademas la tiene a usted, es un tipo afortunado.



Feliciteme a su hombre y felicitese usted

por esa cara de Virgen que el Señor le regalo,

por ese porte de dama, por esos ojos tan lindos…

ojos que seguramente le han ganado mil piropos

y se los merece usted.



Y disculpeme señora pero que boca la suya,

que de palabras bonitas deben de brotar de ella

y que besos tan divinos… pero que son para el.



Feliciteme a su hombre y felicitese usted

por esa cara de Virgen que el Señor le regalo,

por ese porte de dama, por esos ojos tan lindos,

ojos que seguramente le han ganado mil piropos

y se los merece usted."
te quiero,"(Te quiero, si te quiero,)

Me preguntas, si te quiero,

No sabre que contestar, solo se que nada espero

Que me muero, de tanto soñar

Te quiero, como a nadie quiero

Como nunca pude, llegar a querer

Te adoro, si adorar se llama

El ser todo entero, para una mujer

Tus ojos, se duermen en mi alma

Tus labios perfuman mi ser

Pero yo, te quiero,

Como a nadie quiero,

Como nunca pude, llegar a querer,

(Te quiero, como a nadie quiero

Como nunca quise llegar a querer)

Tus ojos, se duermen en mi alma

Tus labios perfuman mi ser

Te quiero, como a nadie quiero,

Como nunca pude, llegar a querer

(Te quiero)
"
hablando de mujeres,"Hablando de mujeres y traiciones

se fueron consumiendo las botellas

y dieron que cantara mis canciones

y yo cante unas dos en contra de ellas

de pronto que se acerca un caballero

su pelo ya pintaba algunas canas

me dijo le suplico compañero que no hables

en mi prescencia de las damas

le dije que nosotros simplemente

hablamos de lo mal que hemos pagado

que si alguien opinaba diferente seria

por que jamas lo traicionaron

que si alguien opinaba diferente

seria por que jamas lo traicionaron

me dijo yo soy uno de los seres

que mas ha soportado los fracasos

y siempre me dejaron las mujeres llorando y con el alma

hecha pedasos mas nunca les reprocho mis heridas

se tiene que sufrir cuando se ama

las horas mas hermosas de mi vida

las he pasado al lado de una dama

pudieramos morir en las cantinas

y nunca  lograriamos olvidarlas

mujeres oh  mujeres tan divinas no queda otro camino

que adorarlas

mujeres oh muejers tan divinas no queda

otro camino que adorarlas
"
viejo mi querido viejo,"Es un buen tipo mi viejo

que anda solo y esperando

tiene la tristeza larga

de tanto venir andando



Yo lo miro desde lejos

pero somos tan distintos

es que crecio con el siglo

con tranvia y vino tintooooo....



Viejo mi querido viejo

ahora ya caminas lerdo

como perdonando el viento

yo soy tu sangre mi viejo

soy tu silencio y tu tiempo.



El tiene los ojos buenos

y una figura pesada

la edad se le vino encima

sin carnaval, ni comparsa



Yo tengo los años nuevos

y el hombre los años viejos

el dolor lo lleva dentro

y tiene historia sin tiempooooo



Viejo, mi querido viejo

ahora ya caminas lerdo

como perdonando el viento

yo soy tu sangre mi viejo

soy tu silencio y tu tiempo



Yo soy tu sangre mi viejo yoooooo...

Soy tu silencio y tu tiempo.
"
